

Validation Epoch: Epoch loss: 0.0181, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0085, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0176, Accuracy: 838/844 (99.289%)

Validation Epoch: Epoch loss: 0.0041, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0104, Accuracy: 841/844 (99.645%)

Validation Epoch: Epoch loss: 0.0019, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0210, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0321, Accuracy: 836/844 (99.052%)

Validation Epoch: Epoch loss: 0.0027, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0202, Accuracy: 837/844 (99.171%)

Validation Epoch: Epoch loss: 0.0005, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0003, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0228, Accuracy: 836/844 (99.052%)

Validation Epoch: Epoch loss: 0.0019, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0075, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0374, Accuracy: 832/844 (98.578%)

Validation Epoch: Epoch loss: 0.0025, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0094, Accuracy: 841/844 (99.645%)

Validation Epoch: Epoch loss: 0.0417, Accuracy: 834/844 (98.815%)

Validation Epoch: Epoch loss: 0.0059, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0023, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0397, Accuracy: 831/844 (98.460%)

Validation Epoch: Epoch loss: 0.0031, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0061, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0011, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0046, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0019, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0011, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0030, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.1241, Accuracy: 807/844 (95.616%)

Validation Epoch: Epoch loss: 0.0154, Accuracy: 839/844 (99.408%)

Validation Epoch: Epoch loss: 0.0001, Accuracy: 844/844 (100.000%)

